http://dbpedia.org/ontology/SportsTeamMember,http://dbpedia.org/ontology/squadNumber
List of Russian football transfers winter 2011–12,63
List of Greek football transfers summer 2010,33
List of Serbian football transfers summer 2010,13
List of Ukrainian football transfers summer 2010,12
List of Chinese football transfers summer 2010,38
List of Cypriot football transfers summer 2013,24
1980 CIS Men's Soccer Championship,19
List of Cypriot football transfers summer 2013,39
Al Sadd SC (handball),10
Full Members Cup 1988-89,1
Elencos da Copa do Mundo de Clubes da FIFA de 2013,101
2008 FIFA Club World Cup squads,40
List of Greek football transfers summer 2012,17
List of German football transfers summer 2010,32
2007 South Carolina Gamecocks men's soccer team,18
2010 Saint Louis Athletica season,2
Лиссабонские львы,4
List of Azerbaijan football transfers winter 2012,29
List of Iranian football transfers summer 2010,32
List of Chinese football transfers summer 2013,42
List of Club Universitario de Deportes players,15
2013–14 Viborg FF season,25
List of Russian football transfers summer 2012,75
2013–14 C.F. União season,9
قوائم كأس العالم للأندية لكرة القدم 2013,25
List of Dutch football transfers winter 2010–11,24
2013–14 UEFA Youth League squads,2
Клубный чемпионат мира по футболу 2012 (составы),9
List of Maltese football transfers summer 2010,81
FIU Panthers men's soccer,21
List of Maltese football transfers summer 2012,104
Meelin GAA,19
2014 Indonesian Inter Island Cup squads,35
List of Iranian football transfers summer 2011,33
West Ham United FC in het seizoen 2010/11,30
List of Uzbek football transfers 2012,5
List of Iranian football transfers summer 2012,7
韋斯咸2012年至2013年球季,45
List of Bosnia and Herzegovina football transfers summer 2012,81
Lisbon Lions,12
Green Bay Phoenix men's soccer,12
Eredivisie 2010/11 (mannenvoetbal)/Transfers winter,6
List of German football transfers summer 2010,44
List of Azerbaijan football transfers summer 2011,22
HNK Hajduk Split statistics and records,7
2013年中国足球冬季转会列表,19
Delta Queens,8
List of Bulgarian football transfers winter 2011–12,95
List of Maltese football transfers summer 2008,90
List of Azerbaijan football transfers summer 2011,83
2010–11 Jaguares de Chiapas season,4
List of Cypriot football transfers summer 2008,15
Clemson Tigers men's soccer,2
Virginia Cavaliers men's soccer,12
Detroit Ignition,4
List of Azerbaijan football transfers winter 2010,29
Saison 2013-2014 du Valenciennes FC,4
List of Serbian football transfers summer 2012,14
List of German football transfers winter 2008–09,3
2005 South Carolina Gamecocks men's soccer team,14
List of Azerbaijan football transfers summer 2010,13
List of Serbian football transfers winter 2011–12,13
List of Hungarian football transfers winter 2011–12,74
List of Iranian football transfers summer 2009,19
List of Iranian football transfers summer 2012,4
List of Chinese football transfers winter 2011,18
Lijst van Bundesliga-transfers zomer 2012,28
List of Japanese football transfers winter 2009–10,8
List of Club Universitario de Deportes players,6
List of Russian football transfers summer 2010,22
List of Belgian football transfers winter 2013–14,26
Detroit Ignition,23
List of Hungarian football transfers summer 2013,14
HNK Hajduk Split statistics and records,10
2013–14 C.F. União season,23
2013年中国足球冬季转会列表,44
2008–09 Queensland Roar W-League season,11
2010–11 C.F. Pachuca season,12
List of German football transfers summer 2008,36
List of Greek football transfers summer 2012,10
List of Bosnia and Herzegovina football transfers summer 2012,6
List of Latvian football transfers summer 2014,5
List of Bulgarian football transfers summer 2010,90
List of Cypriot football transfers summer 2013,96
Manchester City Football Club 2002-2003,4
List of German football transfers summer 2008,22
2008–09 Blackpool F.C. season,36
2014 Indonesian Inter Island Cup qualification squads,29
List of Cypriot football transfers summer 2013,60
Лиссабонские львы,9
List of Uzbek football transfers 2012,25
2010–11 Deportivo Toluca season,7
2010 FIFA Club World Cup squads,16
List of Hungarian football transfers winter 2011–12,40
Lijst van Bundesliga-transfers zomer 2013,10
Virginia Cavaliers men's soccer,7
List of Chinese football transfers summer 2013,56
Convocazioni per la Coppa del mondo per club FIFA 2006,10
List of Serbian football transfers winter 2011–12,21
List of Cypriot football transfers summer 2013,37
List of German football transfers summer 2009,50
List of Chinese football transfers summer 2013,53
List of German football transfers summer 2010,3
List of Serbian football transfers winter 2013–14,76
List of Russian football transfers summer 2012,18
Syracuse Orange men's soccer,4
List of Iranian football transfers summer 2011,17
2006 SK Brann season,9
Al-Rayan SC Handball Team,27
2009–10 Ipswich Town F.C. season,37
Toledo BM,23
Virginia Cavaliers men's soccer,18
Sliema Hotsticks Hockey Club,16
List of Maltese football transfers summer 2008,1
Tacoma Tides,11
List of Russian football transfers winter 2011–12,91
2010–11 Puebla F.C. season,22
West Ham United FC in het seizoen 2010/11,22
Club Universidad Nacional 2010-2011,3
List of Bulgarian football transfers winter 2011–12,81
Meelin GAA,25
List of Serbian football transfers winter 2011–12,3
List of Russian football transfers summer 2010,87
List of Iranian football transfers winter 2013–14,35
List of Slovak football transfers winter 2012–13,4
List of Russian football transfers winter 2009–10,44
List of Russian football transfers summer 2012,48
2008 CIS Men's Soccer Championship,1
List of Estonian football transfers winter 2012–13,22
List of Slovak football transfers winter 2012–13,18
List of Iranian football transfers summer 2010,12
List of Russian football transfers summer 2012,86
List of Hungarian football transfers summer 2013,41
Клубный чемпионат мира по футболу 2012 (составы),12
Lisbon Lions,4
List of German football transfers summer 2013,45
List of Iranian football transfers summer 2013,32
List of Ukrainian football transfers winter 2008–09,35
List of South Korean football transfers summer 2012,10
List of German football transfers summer 2008,9
2014 Indonesian Inter Island Cup qualification squads,55
2010–11 Club Universidad Nacional season,61
قوائم الفرق في كأس العالم لأندية كرة القدم 2010,16
List of Mexican Football Transfers Winter 2011–12,35
1996–97 UE Lleida season,10
قوائم كأس العالم للأندية لكرة القدم 2013,4
2014–15 UEFA Youth League squads,67
قوائم كأس العالم للأندية لكرة القدم 2013,22
2013–14 Vitória F.C. season,15
2002–03 Manchester City F.C. season,3
2003–04 Fulham F.C. season,29
List of South Korean football transfers winter 2013–14,47
List of South Korean football transfers summer 2012,8
Elencos da Copa do Mundo de Clubes da FIFA de 2010,14
List of Mexican Football Transfers Winter 2011–12,6
List of Hungarian football transfers summer 2013,12
2011 Western New York Flash season,8
List of Japanese football transfers winter 2011–12,15
List of German football transfers winter 2008–09,9
List of Russian football transfers summer 2010,24
List of Bulgarian football transfers winter 2013–14,5
Virginia Cavaliers men's soccer,23
List of Chinese football transfers summer 2013,2
Al Rayyan Handball Team,23
2010–11 West Ham United F.C. season,16
List of Azerbaijan football transfers summer 2011,17
2010–11 West Ham United F.C. season,2
Клубный чемпионат мира по футболу 2012 (составы),3
Michigan Wolverines men's soccer,17
Ajax Sportsman Combinatie,8
List of Iranian football transfers summer 2009,7
Convocazioni per la Coppa del mondo per club FIFA 2006,8
List of Cypriot football transfers winter 2011–12,28
List of German football transfers summer 2008,40
Radford Highlanders women's soccer,5
List of Bulgarian football transfers winter 2010–11,4
2007 CIS Men's Soccer Championship,5
قوائم الفرق في كأس العالم لأندية كرة القدم 2010,8
2014 Indonesian Inter Island Cup qualification squads,9
List of Belgian football transfers winter 2012–13,21
List of South Korean football transfers winter 2011–12,16
List of German football transfers winter 2009–10,16
List of Mexican football transfers winter 2013–14,59
List of Uzbek football transfers 2012,24
2013–14 UEFA Youth League squads,1
List of Hungarian football transfers winter 2013–14,92
Manchester City Football Club 2000-2001,5
List of Bulgarian football transfers winter 2013–14,90
2011–12 Grimsby Town F.C. season,17
Hóquei Clube de Braga,3
Ohio State Buckeyes men's soccer,12
Convocazioni per la Coppa del mondo per club FIFA 2010,14
2011–12 Grimsby Town F.C. season,31
List of Norwegian football transfers summer 2014,29
2010–11 Querétaro F.C. season,6
List of Cypriot football transfers summer 2013,75
List of German football transfers summer 2013,27
2014 Indonesian Inter Island Cup squads,1
South Florida Bulls men's soccer,7
List of Hungarian football transfers summer 2013,23
2010–11 Atlante F.C. season,27
Toledo BM,37
List of Belgian football transfers summer 2010,1
List of Norwegian football transfers winter 2012–13,36
2012–13 Walsall F.C. season,27
2004–05 Fulham F.C. season,3
List of Hungarian football transfers winter 2011–12,11
List of Azerbaijan football transfers summer 2012,17
List of German football transfers summer 2009,1
List of Mexican Football Transfers Winter 2011–12,20
List of Hungarian football transfers summer 2010,18
List of Serbian football transfers winter 2013–14,96
List of Mexican football transfers summer 2010,4
List of Latvian football transfers summer 2014,30
List of Chinese football transfers winter 2012,48
List of Azerbaijan football transfers winter 2012,32
List of Slovak football transfers winter 2012–13,11
Manchester City Football Club 2002-2003,36
List of Albanian football transfers summer 2010,4
List of German football transfers summer 2009,32
2010–11 Tigres UANL season,13
2010–11 Club América season,39
List of Russian football transfers winter 2009–10,15
List of Latvian football transfers winter 2011–12,1
List of Cypriot football transfers summer 2008,35
List of Serbian football transfers summer 2012,81
List of Serbian football transfers summer 2010,8
Convocazioni per la Coppa del mondo per club FIFA 2013,21
F.C. Cape Town,11
List of Belgian football transfers summer 2010,21
List of Turkish football transfers summer 2013,57
List of French football transfers summer 2013,4
List of Ukrainian football transfers winter 2014–15,12
List of Uzbek football transfers 2012,14
List of Bulgarian football transfers winter 2013–14,96
2000–01 Fulham F.C. season,27
2006–07 Plymouth Argyle F.C. season,5
List of South Korean football transfers winter 2011–12,22
UR La Louvière Centre,19
List of Maltese football transfers summer 2010,15
Lisbon Lions,6
1999–2000 Blackpool F.C. season,36
List of Iranian football transfers winter 2009–10,36
Delaware Fightin' Blue Hens men's soccer,13
2009–10 Ipswich Town F.C. season,11
Convocazioni per la Coppa del mondo per club FIFA 2013,25
List of Ukrainian football transfers winter 2008–09,76
List of Hungarian football transfers summer 2010,30
List of Norwegian football transfers 2010,13
List of Azerbaijan football transfers winter 2011,16
2007 SK Brann season,7
List of Azerbaijan football transfers summer 2011,32
South Florida Bulls men's soccer,11
Saison 2013-2014 du Valenciennes FC,32
Manchester City Football Club 2002-2003,5
List of Belgian football transfers summer 2010,69
List of Serbian football transfers summer 2013,6
2013–14 UEFA Youth League squads,98
2006 South Carolina Gamecocks men's Soccer Team,2
List of German football transfers summer 2012,44
List of Hungarian football transfers summer 2012,85
List of Hungarian football transfers winter 2011–12,42
2002–03 Manchester City F.C. season,11
List of Iranian football transfers summer 2012,11
List of Hungarian football transfers winter 2011–12,67
List of Russian football transfers winter 2009–10,6
2007 SK Brann season,18
Ajax Sportman Combinatie,1
2007 SK Brann season,14
2013–14 Stationery Stores season,24
List of Chinese football transfers winter 2012,19
Sportsklubben Brann 2007,20
2011 Western New York Flash season,13
West Ham United FC in het seizoen 2010/11,18
List of Cypriot football transfers summer 2013,11
Manchester City Football Club 2000-2001,27
2006–07 Fulham F.C. season,23
List of Cypriot football transfers winter 2013–14,89
2010–11 Club Universidad Nacional season,14
List of Slovak football transfers summer 2013,4
List of Chinese football transfers winter 2014,33
2010–11 Tigres UANL season,38
Ajax Sportsman Combinatie,16
2010–11 Club Atlas season,13
2010–11 Club Atlas season,11
Shabab Al-Bireh Institute,8
List of Russian football transfers summer 2013,16
List of Hungarian football transfers winter 2013–14,28
2003–04 Fulham F.C. season,19
List of Russian football transfers summer 2012,2
List of Norwegian football transfers 2010,22
Union Royale La Louvière Centre,15
Elencos da Copa do Mundo de Clubes da FIFA de 2010,40
List of Azerbaijan football transfers winter 2012,68
List of Maltese football transfers winter 2008–09,7
2007 South Carolina Gamecocks men's soccer team,23
2009–10 Göztepe A.Ş. season,1
List of Iranian football transfers summer 2011,8
2010–11 West Ham United F.C. season,27
1999–2000 Blackpool F.C. season,20
Universitario Lima/Lista piłkarzy,18
List of Japanese football transfers summer 2013,10
2011–12 Grimsby Town F.C. season,37
1982 CIS Men's Soccer Championship,18
1999 Indiana Hoosiers men's soccer team,9
List of Cypriot football transfers summer 2013,37
List of Iranian football transfers winter 2013–14,22
List of South Korean football transfers winter 2013–14,14
1980 CIS Men's Soccer Championship,22
List of Azerbaijan football transfers winter 2014,4
List of Bulgarian football transfers winter 2011–12,3
2013–14 Valenciennes FC season,16
2000–01 Fulham F.C. season,35
List of Belgian football transfers winter 2012–13,40
List of Serbian football transfers winter 2011–12,46
Detroit Ignition,21
List of Hungarian football transfers summer 2012,42
Lisbon Lions,7
2010–11 C.F. Pachuca season,25
قوائم كأس العالم للأندية لكرة القدم 2013,15
List of Iranian football transfers winter 2011–12,15
List of Hungarian football transfers summer 2013,46
List of Cypriot football transfers summer 2013,18
2010–11 Club Atlas season,16
List of Mexican football transfers summer 2013,18
List of Azerbaijan football transfers summer 2013,63
里斯本雄狮,8
List of German football transfers winter 2012–13,35
List of Belgian football transfers summer 2015,59
2013年中国足球冬季转会列表,25
West Ham United F.C. Reserves and Academy,75
List of Estonian football transfers summer 2013,31
Клубный чемпионат мира по футболу 2010 (составы),2
List of Turkish football transfers summer 2013,98
List of Estonian football transfers summer 2013,28
List of German football transfers winter 2008–09,16
Manchester City Football Club 2002-2003,31
Convocazioni per la Coppa del mondo per club FIFA 2012,27
List of Bulgarian football transfers summer 2010,31
2013 FIFA Club World Cup squads,32
List of Azerbaijan football transfers winter 2010,6
Sportsklubben Brann 2006,13
List of South Korean football transfers winter 2013–14,6
2009–10 Göztepe A.Ş. season,72
List of Russian football transfers winter 2009–10,20
2008 Colo-Colo season,5
List of Albanian football transfers summer 2010,8
2008–09 Blackpool F.C. season,10
List of Ukrainian football transfers summer 2009,23
List of Greek football transfers summer 2010,27
List of Bulgarian football transfers winter 2013–14,9
2010–11 C.F. Monterrey season,9
List of Russian football transfers summer 2010,36
Lijst van Bundesliga-transfers zomer 2012,11
List of Hungarian football transfers winter 2011–12,71
List of Russian football transfers winter 2009–10,12
List of Hungarian football transfers summer 2010,35
2010–11 San Luis F.C. season,19
2010–11 Querétaro F.C. season,16
List of Russian football transfers winter 2011–12,44
2013–14 Maccabi Tel Aviv F.C. season,16
List of Iranian football transfers winter 2011–12,29
2010 Saint Louis Athletica season,6
Meelin GAA,26
List of Slovak football transfers summer 2013,23
2010–11 Jaguares de Chiapas season,7
Wake Forest Demon Deacons men's soccer,31
List of Belgian football transfers summer 2009,22
Meelin GAA,8
List of Russian football transfers summer 2013,65
2006 FIFA Club World Cup squads,1
List of Latvian football transfers winter 2013–14,4
Convocazioni per la Coppa del mondo per club FIFA 2013,6
List of Bulgarian football transfers summer 2013,6
List of Greek football transfers summer 2012,15
Detroit Ignition,18
List of Bulgarian football transfers winter 2011–12,77
List of Azerbaijan football transfers summer 2012,17
List of Iranian football transfers summer 2010,7
Laguna Football Club,14
List of Hungarian football transfers winter 2011–12,97
2014 Indonesian Inter Island Cup squads,55
List of Belgian football transfers summer 2009,38
List of Greek football transfers summer 2010,8
List of German football transfers summer 2009,25
List of Slovak football transfers summer 2013,5
List of Albanian football transfers summer 2010,20
2000–01 Fulham F.C. season,28
List of Norwegian football transfers winter 2012–13,10
List of Iranian football transfers winter 2010–11,31
2010–11 Club Universidad Nacional season,20
List of Mexican football transfers summer 2010,24
List of Azerbaijan football transfers summer 2011,1
List of Serbian football transfers summer 2010,32
List of Iranian football transfers winter 2013–14,19
New Mexico Lobos men's soccer,20
2008–09 Queensland Roar W-League season,1
2008 Colo-Colo season,1
List of German football transfers summer 2008,12
List of Azerbaijan football transfers summer 2009,19
Meelin GAA,14
List of Mexican football transfers summer 2012,21
Club Universidad Nacional 2010-2011,12
Клубный чемпионат мира по футболу 2013 (составы),29
FIU Panthers men's soccer,18
Ignition de Détroit,24
Al Rayyan Handball Team,3
List of Russian football transfers summer 2012,45
2007 South Carolina Gamecocks men's soccer team,18
List of Chinese football transfers summer 2010,2
2010–11 Atlante F.C. season,7
List of Norwegian football transfers summer 2014,31
2010–11 C.F. Monterrey season,22
UMBC Retrievers men's soccer,74
List of Bulgarian football transfers winter 2010–11,34
List of Latvian football transfers summer 2012,29
2010–11 Deportivo Toluca season,1
List of Russian football transfers winter 2011–12,24
Toledo Balonmano,20
List of South Korean football transfers winter 2013–14,33
Convocazioni per la Coppa del mondo per club FIFA 2012,52
List of Belgian football transfers summer 2014,29
List of Latvian football transfers winter 2013–14,21
2006–07 Fulham F.C. season,1
List of Hungarian football transfers summer 2013,31
South Florida Bulls men's soccer,13
Wake Forest Demon Deacons men's soccer,20
List of Macedonian football transfers winter 2014–15,4
Convocazioni per la Coppa del mondo per club FIFA 2012,1
List of Mexican football transfers summer 2012,2
List of Russian football transfers summer 2012,96
2010 Rochester Rhinos season,11
List of Azerbaijan football transfers summer 2013,19
List of Russian football transfers summer 2010,38
List of Albanian football transfers winter 2009–10,24
F.C. Cape Town,23
List of Latvian football transfers summer 2014,28
List of Latvian football transfers winter 2013–14,94
List of Bosnian football transfers winter 2013–14,17
List of South Korean football transfers winter 2011–12,43
Sportsklubben Brann 2007,1
2000–01 Fulham F.C. season,32
2007 SK Brann season,11
List of Cypriot football transfers summer 2013,77
List of Qatari football transfers winter 2011–12,20
List of Serbian football transfers summer 2013,20
New Mexico Lobos men's soccer,27
List of Albanian football transfers summer 2013,19
List of Bulgarian football transfers winter 2011–12,88
List of Albanian football transfers summer 2013,18
List of Hungarian football transfers summer 2012,16
List of Latvian football transfers winter 2014–15,95
List of Albanian football transfers summer 2010,5
List of German football transfers winter 2009–10,46
List of Mexican football transfers summer 2012,17
Union Royale La Louvière Centre,8
List of Russian football transfers winter 2010–11,8
New Mexico Lobos men's soccer,4
Manchester City Football Club 2000-2001,26
All-time Saint Louis Athletica roster,20
2013年中国足球冬季转会列表,35
2010–11 Club América season,18
List of Azerbaijan football transfers summer 2012,38
2006 CIS Men's Soccer Championship,18
List of Japanese football transfers winter 2009–10,32
List of German football transfers summer 2008,15
List of Hungarian football transfers winter 2013–14,33
List of Serbian football transfers winter 2011–12,27
Cal Poly Mustangs men's soccer,20
Green Bay Phoenix men's soccer,16
List of German football transfers summer 2013,15
2009 Carolina RailHawks FC season,23
Клубный чемпионат мира по футболу 2013 (составы),18
Virginia Cavaliers men's soccer,2
List of Maltese football transfers summer 2013,7
2010–11 Puebla F.C. season,33
2003–04 Fulham F.C. season,8
List of Club Universitario de Deportes players,25
قوائم كأس العالم للأندية لكرة القدم 2013,11
List of Maltese football transfers summer 2010,24
List of Iranian football transfers winter 2013–14,29
2009–10 Paris Saint-Germain F.C. (Ladies) season,15
List of Belgian football transfers winter 2013–14,16
List of Chinese football transfers winter 2013,19
List of Bulgarian football transfers summer 2013,17
List of Ukrainian football transfers summer 2009,3
2006–07 Fulham F.C. season,35
List of Belgian football transfers winter 2013–14,9
Sportsklubben Brann 2006,2
List of Belgian football transfers winter 2011–12,11
List of Iranian football transfers winter 2013–14,30
Al Sadd Handball Team,96
2010–11 Club Universidad Nacional season,54
List of Azerbaijan football transfers summer 2013,2
2013–14 Maccabi Tel Aviv F.C. season,7
FK Bratstvo Cijevna,7
List of Dutch football transfers winter 2010–11,2
2002–03 Manchester City F.C. season,6
2011 Western New York Flash season,24
2009 Carolina RailHawks FC season,8
List of Slovak football transfers winter 2011–12,26
2010–11 Tigres UANL season,28
2006 SK Brann season,13
List of Ukrainian football transfers summer 2009,12
Club Universidad Nacional 2010-2011,27
List of Iranian football transfers winter 2011–12,26
List of Cypriot football transfers winter 2013–14,84
List of Norwegian football transfers 2010,3
List of Bulgarian football transfers winter 2013–14,12
List of Russian football transfers winter 2009–10,81
1980 CIS Men's Soccer Championship,16
List of Japanese football transfers winter 2011–12,9
List of Iranian football transfers winter 2013–14,5
Wake Forest Demon Deacons women's soccer,18
List of Bulgarian football transfers winter 2011–12,27
2010–11 Atlante F.C. season,2
List of Maltese football transfers summer 2008,19
Markaz Balata,7
2010–11 C.D. Guadalajara season,5
List of German football transfers summer 2013,2
List of Bulgarian football transfers summer 2013,33
List of Belgian football transfers winter 2013–14,26
List of Estonian football transfers winter 2012–13,27
Sapura HC,8
List of Albanian football transfers summer 2013,1
List of Turkish football transfers summer 2013,24
List of Azerbaijan football transfers summer 2012,27
List of Iranian football transfers winter 2010–11,14
Maryland Terrapins men's soccer,7
List of Belgian football transfers summer 2010,37
Laguna Football Club,23
List of Serbian football transfers winter 2011–12,15
قوائم كأس العالم للأندية لكرة القدم 2013,5
List of Ukrainian football transfers summer 2009,28
Elencos da Copa do Mundo de Clubes da FIFA de 2012,31
List of Azerbaijan football transfers winter 2010,25
List of Uzbek football transfers 2010,14
List of Serbian football transfers winter 2013–14,11
Michigan Wolverines men's soccer,6
2009–10 Göztepe A.Ş. season,27
List of Chinese football transfers summer 2013,16
2011 Western New York Flash season,25
2007 South Carolina Gamecocks men's soccer team,22
Convocazioni per la Coppa del mondo per club FIFA 2013,34
2010–11 Puebla F.C. season,9
Convocazioni per la Coppa del mondo per club FIFA 2006,1
2010–11 Club Necaxa season,35
List of Iranian football transfers winter 2009–10,11
2014 Indonesian Inter Island Cup squads,28
List of Russian football transfers summer 2012,41
Elencos da Copa do Mundo de Clubes da FIFA de 2013,5
List of Hungarian football transfers summer 2012,30
List of Cypriot football transfers winter 2013–14,5
List of Azerbaijan football transfers summer 2013,41
Lijst van Bundesliga-transfers zomer 2013,8
List of Latvian football transfers summer 2013,20
List of Russian football transfers winter 2009–10,42
List of Russian football transfers winter 2011–12,43
Hóquei Clube de Braga,9
List of Japanese football transfers winter 2011–12,5
List of Bulgarian football transfers winter 2011–12,39
Elencos da Copa do Mundo de Clubes da FIFA de 2012,16
List of Ukrainian football transfers summer 2010,33
2014–15 UEFA Youth League squads,79
2013–14 UEFA Youth League squads,54
2014–15 UEFA Youth League squads,17
2010–11 Jaguares de Chiapas season,2
Football for Hope,3
1999–2000 Blackpool F.C. season,23
Convocazioni per la Coppa del mondo per club FIFA 2008,29
2012–13 Walsall F.C. season,25
List of Belgian football transfers winter 2008–09,24
List of Norwegian football transfers summer 2014,10
Maybank HC,8
2010–11 West Ham United F.C. season,43
Radford Highlanders women's soccer,29
List of Greek football transfers summer 2012,2
List of German football transfers winter 2008–09,37
List of Hungarian football transfers summer 2012,35
Wake Forest Demon Deacons women's soccer,3
List of Bulgarian football transfers winter 2011–12,93
List of Azerbaijan football transfers summer 2012,77
List of Bulgarian football transfers summer 2013,27
List of Russian football transfers winter 2011–12,71
1999 Indiana Hoosiers men's soccer team,16
List of Japanese football transfers winter 2011–12,36
2013 FIFA Club World Cup squads,17
List of Latvian football transfers summer 2012,10
List of Estonian football transfers winter 2012–13,26
Al-Sadd Sports Club Handball,91
2003–04 Fulham F.C. season,16
List of Turkish football transfers summer 2010,40
2008 FIFA Club World Cup squads,2
List of Russian football transfers winter 2011–12,54
List of Bulgarian football transfers winter 2013–14,81
List of Japanese football transfers summer 2012,12
List of Ukrainian football transfers winter 2008–09,6
West Ham United FC in het seizoen 2012/13,42
Maryland Terrapins men's soccer,12
Sportsklubben Brann 2006,9
2008 FIFA Club World Cup squads,15
2010–11 Club Universidad Nacional season,87
List of Slovak football transfers winter 2012–13,32
List of Turkish football transfers summer 2013,19
2013–14 Grimsby Town F.C. season,9
Akron Zips men's soccer,8
2010–11 Club América season,39
Ajax Sportman Combinatie,13
2010–11 Estudiantes Tecos season,17
2008–09 Sydney FC W-League season,16
2008 Colo-Colo season,32
List of Hungarian football transfers summer 2010,26
List of Russian football transfers winter 2009–10,31
2012 Wake Forest Demon Deacons men's soccer team,19
List of German football transfers summer 2008,29
List of Belgian football transfers summer 2009,3
2008–09 Queensland Roar W-League season,13
List of Chinese football transfers winter 2012,27
List of Azerbaijan football transfers summer 2009,22
2012–13 West Ham United F.C. season,42
2008–09 Paris Saint-Germain F.C. (Ladies) season,11
2000–01 Manchester City F.C. season,22
List of Maltese football transfers summer 2008,27
List of Greek football transfers summer 2011,3
List of Serbian football transfers summer 2013,88
List of Belgian football transfers summer 2014,79
List of Russian football transfers summer 2010,16
2014 Indonesian Inter Island Cup qualification squads,73
2004–05 Fulham F.C. season,1
List of Bulgarian football transfers summer 2013,33
List of Serbian football transfers winter 2013–14,24
List of Iranian football transfers winter 2013–14,13
List of Russian football transfers winter 2010–11,54
List of Macedonian football transfers winter 2014–15,64
Sportsklubben Brann 2006,14
List of South Korean football transfers winter 2013–14,44
List of Turkish football transfers summer 2014,88
List of Iranian football transfers winter 2013–14,9
2013–14 Valenciennes FC season,12
Sportsklubben Brann 2007,10
List of Belgian football transfers winter 2013–14,12
List of Belgian football transfers winter 2011–12,24
List of Norwegian football transfers summer 2013,1
Syracuse Orange men's soccer,26
List of Cypriot football transfers winter 2011–12,33
List of Latvian football transfers winter 2013–14,5
Michigan Wolverines men's soccer,19
List of Serbian football transfers summer 2013,27
List of Azerbaijan football transfers summer 2011,2
2014 Indonesian Inter Island Cup squads,78
Toledo Balonmano,24
Lijst van Bundesliga-transfers zomer 2012,21
List of Serbian football transfers winter 2011–12,71
2010–11 San Luis F.C. season,3
List of Latvian football transfers summer 2012,20
List of Belgian football transfers summer 2015,35
List of Maltese football transfers summer 2009,15
List of Ukrainian football transfers summer 2009,8
List of Bosnian football transfers winter 2013–14,14
List of Bulgarian football transfers summer 2013,24
List of Serbian football transfers winter 2013–14,76
Manchester City Football Club 2002-2003,15
Elencos da Copa do Mundo de Clubes da FIFA de 2012,2
List of Albanian football transfers summer 2013,6
2013–14 C.F. União season,4
List of Cypriot football transfers summer 2013,94
List of Mexican football transfers summer 2012,11
Al Sadd Handball Team,14
List of Russian football transfers winter 2011–12,53
2010–11 C.F. Pachuca season,2
Shabab Al-Bireh Institute,7
2014–15 UEFA Youth League squads,38
List of Chinese football transfers winter 2014,2
List of German football transfers summer 2009,21
2012–13 Walsall F.C. season,34
E.I.S. Men's Volleyball,8
List of Cypriot football transfers winter 2011–12,27
List of Iranian football transfers summer 2013,6
List of German football transfers summer 2008,8
List of Club Universitario de Deportes players,11
2005 South Carolina Gamecocks men's soccer team,17
List of Bulgarian football transfers winter 2013–14,38
List of Cypriot football transfers summer 2013,22
List of German football transfers winter 2009–10,10
List of Belgian football transfers summer 2015,2
2012 FIFA Club World Cup squads,19
Sportsklubben Brann 2006,24
Virginia Cavaliers men's soccer,3
2010–11 Jaguares de Chiapas season,14
List of Iranian football transfers summer 2011,22
List of German football transfers winter 2009–10,3
List of Dutch football transfers winter 2010–11,13
2008 FIFA Club World Cup squads,14
Lijst van Bundesliga-transfers zomer 2013,44
List of Japanese football transfers summer 2012,5
List of Azerbaijan football transfers summer 2013,35
List of Iranian football transfers winter 2013–14,20
List of German football transfers summer 2009,27
List of Iranian football transfers summer 2009,9
List of Latvian football transfers winter 2011–12,16
2010–11 Puebla F.C. season,26
Cal Poly Mustangs men's soccer,28
List of Russian football transfers summer 2010,89
List of Hungarian football transfers winter 2011–12,29
List of German football transfers winter 2009–10,2
List of Serbian football transfers winter 2013–14,40
List of Iranian football transfers summer 2013,80
2011 Western New York Flash season,10
2013年中国足球冬季转会列表,45
List of Hungarian football transfers winter 2013–14,1
Al-Sadd Sports Club Handball,4
2010–11 Deportivo Toluca season,16
List of Ukrainian football transfers winter 2014–15,25
2009–10 Ipswich Town F.C. season,35
2009 Carolina RailHawks FC season,15
List of South Korean football transfers winter 2011–12,12
List of Iranian football transfers winter 2010–11,9
2002–03 Manchester City F.C. season,7
Eredivisie 2010/11 (mannenvoetbal)/Transfers winter,42
2010–11 Estudiantes Tecos season,21
2004 South Carolina Gamecocks men's Soccer Team,22
2011 Western New York Flash season,38
2014–15 Grimsby Town F.C. season,1
Saison 2013-2014 du Valenciennes FC,20
2010–11 West Ham United F.C. season,18
قوائم الفرق في كأس العالم لأندية كرة القدم 2010,92
List of Belgian football transfers summer 2010,20
2012–13 Galatasaray S.K. Basketball season,5
List of Bulgarian football transfers winter 2010–11,3
List of North American Soccer League transfers in 2014,20
2006 SK Brann season,19
List of Russian football transfers winter 2009–10,39
List of German football transfers summer 2013,12
2006 South Carolina Gamecocks men's Soccer Team,5
List of Japanese football transfers winter 2011–12,10
List of German football transfers summer 2008,37
List of Norwegian football transfers summer 2014,9
Universitario Lima/Lista piłkarzy,23
2013 FIFA Club World Cup squads,14
List of Cypriot football transfers summer 2013,54
List of Belgian football transfers summer 2015,35
2006 CIS Men's Soccer Championship,3
List of Cypriot football transfers winter 2013–14,4
List of Bulgarian football transfers summer 2010,31
