http://dbpedia.org/ontology/Location,http://dbpedia.org/ontology/areaWater
Veselí nad Moravou,2080000.0
"Municipio de Neosho (condado de Coffey, Kansas)",414398.0
Tennessee,2400000000.0
Singida (regio),95000000.0
"Jackson Township, Allen County, Indiana",0.0
Hickory Hills (Pensilvania),20000.0
"Jackson Township, Sullivan County, Indiana",2227390.0
Pueblo (Colorado),776996.0
Walker (California),0.0
プラスキ郡 (ケンタッキー州),49209800.0
Lebec,0.0
Bronx,38849800.0
"Queenland, Maryland",0.0
"Colony Township, Greeley County, Kansas",0.0
Gmina Iowa (hrabstwo Cedar),1540000.0
"Elk Township, Cloud County, Kansas",790000.0
"Municipio de Avilla (condado de Comanche, Kansas)",466198.0
Nevada (Iowa),51799.8
俄亥俄州,10040000000.0
Gmina Camanche,8190000.0
"Clearview, Washington",0.0
"Municipio de Lyon (condado de Geary, Kansas)",1370000.0
Municipio de Carter (Indiana),673397.0
Gmina Cedar (hrabstwo Cherokee),0.0
Donggala Regency,3121800000.0
Creston (Iowa),160000.0
"Walker, Mono County, California",0.0
"Tisdale Township, Cowley County, Kansas",100000.0
Jesterville (Maryland),606057.0
مالمو,1500000.0
"Le Roy Township, Bremer County, Iowa",1761190.0
Santa Clarita (California),155399.0
Ciudad Nezahualcóyotl,620000.0
Stone City (Iowa),129499.0
"Paint Creek Township, Allamakee County, Iowa",0.0
"Leroy, Alabama",189069.0
Lansing (Michigan),1631690.0
"Municipio de Kniest (condado de Carroll, Iowa)",0.0
"Addie Township, Griggs County, North Dakota",6000000.0
"Aboite Township, Allen County, Indiana",77699.6
Кливленд,12350000.0
"Washington Township, Randolph County, Indiana",181299.0
Detroit,10670000.0
"Advance Township, Pembina County, North Dakota",0.0
布里奇波特,8805960.0
Kapaa,600000.0
Nevada (Iowa),51799.8
Concord (Michigan),310799.0
"Posey Township, Switzerland County, Indiana",4247580.0
"Carpenter, Wyoming",0.0
"Haddon Township, Sullivan County, Indiana",647497.0
Портленд (Орегон),31079900.0
Noáin,0.0
"Dillard, Oregon",0.0
Municipio de Pleasant Grove (Illinois),25899.9
阿卡迪亚 (佛罗里达州),20000.0
Bendena,0.0
"Okoboji Township, Dickinson County, Iowa",77699.6
Monument Hills,0.0
"Wayne Township, Custer County, Nebraska",0.0
イーガン (ミネソタ州),5980000.0
"Polk Township, Bremer County, Iowa",51799.8
"Municipio de Nemaha (condado de Gage, Nebraska)",414398.0
Lindisfarne (Montana),120000.0
"Municipio de Lyon (condado de Cloud, Kansas)",25899.9
Pueblo (Colorado),800000.0
スプリングデール郡区 (アイオワ州シーダー郡),0.0
斯塔鎮區 (堪薩斯州克勞德縣),190000.0
Hiko,900000.0
"Orick, California",270000.0
"Municipio de Tisdale (condado de Cowley, Kansas)",100000.0
"Municipio de Palacky (condado de Ellsworth, Kansas)",80000.0
"Lansing Township, Allamakee County, Iowa",11499500.0
リバティ郡区 (アイオワ州ブキャナン郡),870000.0
"Pleasant Valley Township, Cowley County, Kansas",60000.0
Lusk (Wyoming),0.0
Nora Township (Illinois),0.0
أبل فالي (يوتا),0.0
Municipio de Apple Creek (Misuri),103600.0
Ayer (Massachusetts),1553990.0
"Round Grove Township, White County, Indiana",77699.6
Huangchuan County,107000000.0
Paris (Texas),4300000.0
"Hiko, Nevada",900000.0
Pine Level (Alabama),132089.0
"Elyria Township, Valley County, Nebraska",1942490.0
"Concord, Michigan",310000.0
Rosalia (Kansas),0.0
傑斐遜鎮區 (艾倫縣),30000.0
"Hawk Run, Pennsylvania",20000.0
"Municipio de Arcadia (condado de Carroll, Iowa)",20000.0
"McAdoo Township, Barber County, Kansas",330000.0
"Summertown, Tennessee",0.0
"Unity, Maine",5076380.0
Hagerstown (Maryland),25899.9
Gmina Colony (hrabstwo Adams),10000.0
Бриджпорт (Коннектикут),8805960.0
Big Chimney (Virginia Occidental),145039.0
"Hampden Township, Coffey County, Kansas",20227800.0
"Addison Township, Cass County, North Dakota",0.0
Condado de Jackson (Míchigan),56979700.0
Municipio de Tecámac,0.0
Gmina Perry (hrabstwo Buchanan),70000.0
"Municipio de Blackbird (condado de Thurston, Nebraska)",2200000.0
"Nemaha Township, Gage County, Nebraska",410000.0
"Blue Springs-Wymore Township, Gage County, Nebraska",70000.0
"Needham Township, Johnson County, Indiana",51799.8
"Pennsville (CDP), New Jersey",924000.0
"Soda Springs, Nevada County, California",0.0
卡蒂奇格羅夫鎮區 (艾倫縣),900000.0
Ciudad de Guatemala,0.0
Puerto Serrano,0.0
Alexandria (Indiana),0.0
باتل كريك (ميشيغان),2900790.0
Gmina Bennezette,0.0
"Yates Township, McLean County, Illinois",25899.9
"Dallas Township, Huntington County, Indiana",776996.0
Gmina Union Prairie,0.0
"Municipio de Cass (condado de Cedar, Iowa)",2160000.0
"Municipio de Addison (condado de Shelby, Indiana)",1294990.0
"Gardiner (CDP), New York",0.0
الإسكندرية (إنديانا),0.0
Gmina Tilden (Iowa),0.0
"Municipio de Brazeau (condado de Perry, Misuri)",1000000.0
"Nardin, Oklahoma",0.0
斯特朗鎮區 (堪薩斯州蔡斯縣),420000.0
サウスブリッジ (マサチューセッツ州),1294990.0
Municipio de Cape Girardeau,8770000.0
"Victoria Township, Cass County, Iowa",51799.8
Bridgeport (Connecticut),8800000.0
Davis (Kalifornia),82000.0
"Municipio de Jefferson (condado de Whitley, Indiana)",0.0
Finderne,625000.0
Davis (California),82000.0
可倫坡區,23000000.0
"Meadowbrook, California",59569.7
Zunheboto district,55000000.0
Carolina Forest,2800000.0
リントン郡区 (アイオワ州アラマキー郡),0.0
Arcadia (Florida),20000.0
Oyster Bay (New York),168608000.0
Sand Ridge Township,2408690.0
莫諾納鎮區 (克萊頓縣),20000.0
"Silver Hill, Maryland",0.0
Ellensburg,130000.0
Distrito electoral de Ruma (Illinois),50000.0
"East Adams, North Dakota",300000.0
Menominee Township (Illinois),6578570.0
"Municipio de Ottumwa (condado de Coffey, Kansas)",15130000.0
"Municipio de Gorham (condado de Fulton, Ohio)",258999.0
Municipio de Le Roy (Iowa),1761190.0
Villaluenga del Rosario,0.0
Lookout Mountain (Alabama),36259.8
"Corinne, West Virginia",67339.7
"Bingham, Maine",1061900.0
Puerto Serrano,0.0
Gmina Amsterdam (Stany Zjednoczone),155399.0
Nashville,56746600.0
Addison (Vermont),18800000.0
"Municipio de Granville (condado de Platte, Nebraska)",0.0
Missouri,2119000000.0
"Fenwick, West Virginia",31079.9
"Grassflat, Pennsylvania",0.0
Malmö,1500000.0
De Smet (Idaho),0.0
Eugene (Oregon),51799.8
Six Mile Run,20719.9
Municipio de Spring Creek (Nebraska),0.0
"Greensboro Township, Henry County, Indiana",181299.0
الظهران,0.0
"Tuttletown, California",18129.9
"Arcadia Township, Carroll County, Iowa",20000.0
"Washington Township, Boone County, Indiana",362598.0
Setenil de las Bodegas,0.0
Gmina Polk (hrabstwo Benton),233099.0
