http://dbpedia.org/ontology/Weapon,http://dbpedia.org/ontology/length
一式装甲运兵车,4.78
Typ 1 Ho-Ni I,5.9
Type 1 Ho-Ni I,5.9
一式砲戦車,5.9
Ho-Ni,5.9
Хо-Ни I,5.9
Type 1 Ho-Ni I,5.9
一式炮戰車,5.9
Type 1 heavy machine gun,1.077
Typ 1 Schweres Maschinengewehr,1.077
Ametralladora pesada Tipo 1,1.077
Type 1 (mitragliatrice pesante),1.077
一式重機関銃,1.077
Karabin maszynowy wz. 1,1.077
一式重機槍,1.077
Villar-Perosa M1915,0.9
Subfusil aéreo Villar-Perosa,0.9
Villar-Perosa aircraft submachine gun,0.9
Villar Perosa (pistola mitragliatrice),0.9
FIAT Mod.1915 Villar Perosa,0.9
ビラール・ペロサM1915,0.9
Pistolet maszynowy Villar-Perosa,0.9
Villar Perosa M15,0.9
Villar-Perosa M1915,0.9
Zuni (Rakete),1.9558
Zuni (rocket),1.9558
Zuni (cohete),1.9558
Zuni (roquette),1.9558
ズーニー・ロケット弾,1.9558
Zuni Folding-Fin Aircraft Rocket,1.9558
Зуни (ракета),1.9558
祖尼火箭,1.9558
Ashani,0.158
AR-57,0.762
AR-57卡賓槍,0.762
AR-57,0.762
Anoa (armoured personnel carrier),6.0
Benelli Kite Young,0.38
Bushmaster BA50,1.4732
大毒蛇BA50狙擊步槍,1.4732
Bushmaster BA50 Rifle,1.4732
CQC-6,0.2032
CZ 2075 RAMI,0.167
Commander (knife),0.22352
FAMAE revolver,0.225
FN FNAR,1.0541
FN FNAR,1.0541
HMS Atalante (1797),30.1752
KTO Ryś,7.43
KTO Ryś,7.43
Zastava M56,0.87
Zastava M56/M65,0.87
M56短機関銃,0.87
Pistolet maszynowy Zastava M56,0.87
Zastava M56,0.87
Zastava M56衝鋒槍,0.87
M56 Submachine gun,0.87
Manurhin MR 73,0.195
Manurhin MR 73,0.195
マニューリン MR 73,0.195
馬努漢MR-73左輪手槍,0.195
Manurhin MR 73,0.195
