http://dbpedia.org/ontology/Location,http://dbpedia.org/ontology/populationTotal
Saint-Sauveur (Dordoña),769
Jussy (Aisne),1244
皮奥恩比诺德塞,8963
La Celle-sur-Morin,1197
Bako,17253
Санкт-Мартин-им-Иннкрайс,1721
Calabria,1980533
Takht-e Olya,96
Porta (Pirenei Orientali),130
Němčice (district de Domažlice),130
Krzęcin (województwo zachodniopomorskie),1200
Bonpland (Corrientes),1063
Moulineaux,903
Oliva de la Frontera,5881
Gorica pri Dobjem,39
Galloway (Virginia Occidental),143
高坪区,600000
Dommartin-lès-Toul,1644
Oliva de Mérida,1888
Сигуатепеке,75000
Yura (distrito),15659
El Rosal (Cundinamarca),17254
巴特多伊奇—阿尔滕堡,1375
Barzan,455
北島 (塞舌爾),152
Villa Oliva,990
"Cedar Township, Cherokee County, Iowa",405
فينيتو,4865380
Bilaspur (Gautam Budh Nagar),7478
"Desa, Dolj",5023
Dommartin-Lettrée,152
Velle-sur-Moselle,269
Umbrien,889001
Le Plessis-Lastelle,245
Вильярино-де-лос-Айрес,1020
Vigneux-Hocquet,281
Marsac-sur-l'Isle,2650
"Municipio de Grand Meadow (condado de Cherokee, Iowa)",210
Ла-Порта,246
Rosta,4685
Hagen (Moselle),254
Hausvik,619
Ozoir-le-Breuil,420
"Lor, Kermanshah",362
道孚县,46900
Sankt Martin im Mühlkreis,3585
セルヴァ・ディ・カドーレ,557
"Neuenkirchen, Rügen",391
泰爾韋爾,6667
سليم تشاف (دهغاه),360
Sassen (Eifel),89
Orvillers-Sorel,422
Carignan (Ardennes),3156
Пушкино (Лори),411
Hamry (Plzeň),116
Drage (Dolna Saksonia),3736
Lapeyrouse-Fossat,2599
Călăraşi (Dolj),6687
Biskupice Ołoboczne,1500
Rožnov,382
Sangha (Mali),32513
Tlacolula de Matamoros (municipio),16510
Boissy-sans-Avoir,601
La Celle-sur-Loire,798
忠县,751400
フムス (リビア),201943
"Municipio de Cedar (condado de Jackson, Kansas)",1254
Niijima (Tokio),2697
Alğa (district),38961
Buda (Buzău),3179
José Tadeo Monagas (Guárico),187973
اكبر أباد (رستاق),18
Saint-Brice (Mayenne),487
La Celle-en-Morvan,472
Дженин,39004
Mikulovice u Jeseníku,2726
Homs (Libia),201943
Zuglio,633
Saint-Sauveur-la-Vallée,39
Regione di Maranoa,13862
Kopenhagen (gemeente),594231
Gmina Soldier (hrabstwo Crawford),323
Montagny-près-Louhans,449
Comuna de Biskupice,8672
Dalmatië (regio),852068
Fara Gera d'Adda,7396
Dragomirești (Dâmbovița),8867
"Saint-Cyprien, Loire",2385
"Akbarabad, Saveh",307
Lolme,141
Hamm am Rhein,2233
埃爾羅薩爾 (昆迪納馬卡省),17254
Brzeziny (powiat biłgorajski),168
Llano de Olmedo,82
"Steinfeld, Saxony-Anhalt",312
Gaoping (Nanchong),600000
Sankt Martin an der Raab,2074
圣萨蒂尔南迪利梅 (马耶讷省),546
District de Jianye,160000
Provincia di Chayanta,90205
Saint-Saturnin-du-Bois,857
Kallar-e Olya,451
Jussy (Yonne),462
"Soldier Township, Crawford County, Iowa",323
澜沧拉祜族自治县,460976
Conflans-sur-Loing,353
Sankt Martin (Pfalz),1813
Warzenko,127
La Villedieu-du-Clain,1437
"Potrerillos, Chiriquí",1562
Dommartin-lès-Toul,1644
Saint-Cyprien (Dordogne),1557
Le Mage,273
Sankt Martin im Innkreis,1721
Sien (Alemanha),581
Яновский (концентрационный лагерь),100000
东皮耶尔勒勒埃格利瑟,378
Krasne (Powiat Rzeszowski),3500
Pommiers (Loire),374
Сен-Сиприен-сюр-Дурду,813
Weyer (Oberösterreich),4525
Saint-Saturnin (Sarthe),2236
Berge (Gardelegen),726
Marsac (Altos Pirineos),195
Horka (Saxônia),1984
Santa Maria degli Angeli,6665
Штайнфельд (Мекленбург),557
Montagny-lès-Seurre,107
Brody (powiat nowotomyski),750
Němčice (Plzeň),130
Saint-Sauveur-de-Landemont,653
Podmokly (Rokycany District),272
Kurzętnik,3065
Gmina Cedar (hrabstwo Black Hawk),1761
Labrador,26728
Bemowo Piskie,1300
Half Moon Lake (Alberta),250
Épinay-sous-Sénart,12733
Salim Pakel,45
Lety (okres Praha-západ),1284
Bischheim (Alemanha),735
Le Plessis-Sainte-Opportune,267
Taufkirchen an der Pram,2895
Saint-Saturnin-du-Bois,857
Делта (Минас-Жерайс),6600
Reyes (plaats),6222
Luc-la-Primaube,5544
Perthes (Alto Marne),617
Charmoille (Doubs),318
La Celle (Cher),361
"Blankenheim, Saxony-Anhalt",1261
Санкт-Мартин-им-Зульмталь,3052
"Białobrzegi, Legionowo County",1232
Proseč (Vysočina),79
ساوتهيل (بيدفوردشير),1141
Biskupice-Pulkov,299
Gorica pri Slivnici,585
阿爾韋迪縣,15617
Brza Palanka,860
Olmedo (Espagne),3897
Piotrowice (powiat polkowicki),390
"Horst, Lauenburg",245
塞尔河畔宽,278
錫瓜特佩克 (科馬亞瓜省),75000
San Carlo Canavese,3943
"Janów, Silesian Voivodeship",964
Grotte di Castro,2857
合衆国領有小離島,300
Beauregard-de-Terrasson,694
Banica (gemeente Uście Gorlickie),260
Saint-Saturnin (Cantal),227
Fournes-Cabardès,66
Mory (Pas-de-Calais),346
Sébastopol,418987
Malaba (Uganda),18224
La Tourette (Loire),424
Świętajno (powiat olecki),1600
勒普莱西格拉穆瓦尔,2142
Campania,5869029
瑪拉諾亞區政府,13862
"Municipio de Menominee (condado de Jo Daviess, Illinois)",1122
Anju District,750000
Домпьер-сюр-Шарант,460
Villedieu-lès-Bailleul,236
Montastruc-la-Conseillère,3069
Torrente de Cinca,1002
Fara Novarese,2085
