http://dbpedia.org/ontology/Location,http://dbpedia.org/ontology/populationTotal
Сен-Сиприен (Восточные Пиренеи),9827
"Faraday, Ontario",1412
"Ksour, Bordj Bou Arreridj",12022
马尔萨克 (克勒兹省),711
"Saint-Martin-des-Champs, Yonne",292
Ajos Epifanios,333
Valle de Matamoros,437
L'Épinay-le-Comte,184
Dobrin (Roemenië),1824
Costești (Vâlcea),3635
Saint-Sauveur (Oise),1590
Bernal (Mexiko),2930
Steinfeld (Caríntia),2359
Lapeyrouse-Fossat,2654
Stare Biskupice,95
Aceguá (Brasilien),4225
Königsfeld (Nadrenia-Palatynat),658
Sassen (Alemanha),86
San Antonio de Padua,39606
Paska,127
"Municipio de Pleasant (condado de Fairfield, Ohio)",5871
"Parava, Bacău",3325
Dragomirești (Vaslui),4880
Le Plessis-Bouchard,8323
Březnice (Zlín),1180
Saint-Jouin-de-Marnes,620
"Municipio de Cedar (condado de Calhoun, Iowa)",418
Boissy-Fresnoy,899
بانيبيد (مقاطعة دالاهو),294
霍赫格山麓奥伯多夫,766
ميله لسليس (كيبك),1586
Juan Díaz (Panama),2512
زيوية (نمة شير),622
Ouro (Santa Catarina),7323
拉马尔恩,1359
Bory (Žďár nad Sázavou District),830
Markt Sankt Martin,1109
Aappilattoq (Kujalleq),138
"Nowa Karczma, Gmina Nowa Karczma",817
Amphoe Bang Pakong,88438
Conflans-sur-Anille,611
Fara (Bloke),54
Krishnanagar (Nepal),21648
Curran (Illinois),246
Provincia de Yungay,53687
"Schönwald, Brandenburg",1186
"Wojnowo, Warmian-Masurian Voivodeship",231
"Campana, Haute-Corse",23
Hussein Dey District,248523
Saint-Saturnin-du-Limet,535
Saint-Sauveur-de-Peyre,255
"Lignerolles, Orne",168
Ozoir-le-Breuil,434
"Delta, Minas Gerais",6459
"Rope, Cheshire",2089
Montastruc-de-Salies,259
Amphoe Bang Pakong,88200
Abbéville-lès-Conflans,237
Bonneuil (Charente),266
Marcinowa Wola,264
Southill (Bedfordshire),1097
La Plata (Kolumbien),59999
Krauschwitz (Saksen),4003
勒特朗布莱,337
Huerta de Rey,1094
拉布拉多,27534
"Bistra, Vrhnika",43
Soto y Amío,1015
Artyomovsky District,25901
Dompierre-sous-Sanvignes,77
Saint-Maximin (Isère),619
Rivera TI,1927
Morašice,230
La Celle (Var),1315
Luzino,6889
ميدينيا (آبلة),155
Dompierre-sur-Charente,465
Saint-Sauveur-de-Pierrepont,142
"Ramin, Zanjan",1055
Nandgaon (Uttar Pradesh),10357
Campana (Korsika),24
Saint-Cyprien (Pirineos Orientales),9906
穆瓦西穆兰奥 (涅夫勒省),27
埃里河畔东皮耶尔,78
Вердер (Любц),452
Saint-Sauveur-lès-Bray,338
Amphoe Phan,131386
"Akbarabad, Nain",26
Luján de Cuyo,99917
Bhildi,4920
Marey,67
Saint-Sauveur-d'Émalleville,1176
Viry (Saona i Loara),259
Kalabrien,2004895
Taillebourg (Lot e Garonna),91
Steinheim am Albuch,8883
Mées,1671
Saint-Saturnin-du-Limet,570
"Pleasant Township, Grant County, Indiana",7099
Qomsheh-ye Lor Zanganeh,264
Баница (гмина Усьце-Горлицке),259
Ramin,680
Boquerón (Chiriquí),3853
Ombrie,852548
جنوب تانغيرانغ,1423257
Rivera (Svizzera),1493
Bassa (Plateau),186186
Sindh,56579832
Saint-Saturnin (Puy-de-Dôme),1003
Boissy-lès-Perche,514
Solncevo (quartiere di Mosca),114881
"Kandal, Kurdistan",68
Podunajské Biskupice,19169
Kosakowo (Poméranie),782
Quincy-Voisins,5020
Raz Rural District,6278
Dolní Hořice,818
"Aldergrove, Edmonton",5641
Orville (Côte-d'Or),204
Saint-Cyrille-de-Lessard,739
Moritz (Zerbst/Anhalt),333
Olmedo (Italia),3116
Trnávka (okres Dunajská Streda),428
Saint-Cyprien-sur-Dourdou,830
Saint-Sauveur (Vienne),1075
Aija (distrito),2483
Мала-Ремета,155
Seyssel (Haute-Savoie),2147
"Krzęcin, West Pomeranian Voivodeship",1241
Dommartin (Ródano),2720
Hranice (powiat Czeskie Budziejowice),228
Tamazula,2372
بيت ليد,4886
Neuenkirchen (Diepholz),1141
Tremblay-les-Villages,2215
"Wesenberg, Schleswig-Holstein",1097
Orville (Indre),127
特格尔恩湖畔格蒙德,6166
"Janów, Warmian-Masurian Voivodeship",346
"Municipio de Pleasant (condado de Appanoose, Iowa)",763
Neuenkirchen (Rügen),410
"Saint-Brice, Manche",118
Oden (Míchigan),374
Neuenkirchen (Stade),779
东河畔马尔萨克 (大西洋卢瓦尔省),1354
Mikulovice (Olomouc),2823
De Smet (Idaho),181
伊圖薩因戈 (科連特斯省),21406
Cristóbal (Repubblica Dominicana),5917
Samborowo,1459
Agios Epiktitos,5148
"Altenburg, Lower Austria",805
獨立區 (瓦拉斯省),60993
Stanbridge (Bedfordshire),745
Dommartin-aux-Bois,380
Hořice (okres Pelhřimov),199
Le Plessis-Grammoire,2227
Kirchdorf an der Iller,3411
Villedieu (Cantal),528
Boulogne (Vendeia),655
Rückersdorf (Niederlausitz),1732
Hořice (Vysočina),190
Сен-Совёр (Верхняя Сона),2112
圣索弗拉瓦莱埃 (洛特省),38
Boulogne,646
Beauregard (Lot),235
Karos,494
Bartow (Mecklenburg),559
"Sulzbach, Rhein-Lahn",214
Sierakowice,7370
Barranca de Upía,3788
Acatlán,18243
Trient,144
Saint-Cyprien-sur-Dourdou,792
"Mineral Township, Barry County, Missouri",928
"Oui, Burkina Faso",949
Koura District,67999
Dommartin-sous-Amance,300
Naval (Huesca),271
Soisy-sur-Seine,7251
Итусаинго,753
Saix,205
Фара-Вичентино,3973
Рюкерсдорф (Нижняя Лужица),1658
Corvera de Toranzo,2231
Barrancas (Colômbia),22590
Labrador (Canada),26890
Bischheim (Donnersberg),713
Morašice (district de Svitavy),696
Perreux (Yonne),295
Oberdorf im Burgenland,1106
Le Plessis-Sainte-Opportune,260
Jussy (Moselle),485
Viry (Saône-et-Loire),257
Sainte-Blandine (Isère),927
Асмат (округ),92746
"Municipio de Cedar (condado de Cherokee, Iowa)",415
Dommartin-sous-Hans,52
Stockland Bristol,168
Tremblay,1547
"Pleasant Township, Johnson County, Indiana",50398
Marey,68
"Akbarabad, Tonekabon",209
Plaisance (Dordogne),493
Beauregard-de-Terrasson,685
"Königsfeld, Mecklenburg-Vorpommern",406
シティ・オブ・ボタニー・ベイ,38664
"Rouse, California",2008
"Merlo, Buenos Aires",254686
Němčice (okres Strakonice),110
Al-Mazra’a (As-Suwajda),2584
Paint Creek (Texas),332
Biskupice (powiat poznański),1149
"Lansing Township, Allamakee County, Iowa",1405
Sono Department,7020
Jelen Do,169
Saint-Sauveur-de-Puynormand,395
Le Plessis-Sainte-Opportune,264
"Montagny, Savoie",562
Perthes-lès-Brienne,78
Dáli (Chypre),10541
Cueto (Cuba),33118
"Balgowan, South Australia",320
Kuik-e Majid,223
Veneto,5060630
Sunyer,313
Беверн (Гольштейн),566
Abra Pampa,9603
سالم (نابلس),5096
Lez (Alta Garonna),57
"Gorica, Puconci",328
Bonneuil-en-Valois,1055
Biskupice (województwo lubelskie),916
"Wörth, Upper Bavaria",4520
La Floresta (Uruguay),1524
Saint-Sauveur (Finistère),775
Arauco (Cile),33806
Rzeczyca (powiat bialski),939
Dompierre-sur-Héry,75
"Pleasant Township, Cass County, Iowa",1238
"Suba, Jerusalem",621
Bad Grund (Samtgemeinde),8934
Montastruc-de-Salies,261
Traiskirchen,15987
Igal (Ungheria),1271
Nawabganj (Unnao),10155
Leménil-Mitry,3
巴尔里,134
Golubka,1186
Luján de Cuyo,107093
Saint-Thibault-des-Vignes,6809
Lichnowy (powiat de Malbork),978
Río Segundo,21890
Oberdorff,385
La Tourette,422
Lapeyrouse (Puy-de-Dôme),563
Saint-Sauveur-la-Pommeraye,317
Municipio Tila,69062
Perthes (Haute-Marne),616
Saint-Brice (Orne),159
Noisy-sur-Oise,670
Bobangui,16222
Saint-Brice-sur-Vienne,1449
Soto de la Vega,1839
Scheidt (Saarbrücken),4014
Lapeyrouse-Mornay,1088
Chwaszczyno,2804
Bożepole Wielkie,2166
Berka vor dem Hainich,891
Biskupice-Pulkov,308
Vila (Andorra),1441
Dargobądz,391
Dahlem (Berlin),15074
Coin-lès-Cuvry,650
Andon,549
Jussy (Yonne),453
Санкт-Мартин-бай-Лофер,1165
"Krishnanagar, Nepal",19673
Weißkirchen an der Traun,3111
Saint-Martin-des-Champs (Mancha),2022
"Balsas, Ecuador",3253
Mikulovice (district de Znojmo),597
Oldendorf (Schleswig-Holstein),1212
Moulineaux,929
دالماسيا,883129
Perthes (Ardenne),283
Raïon de Gagarine,139003
圣格拉蒂安,342
阿勞西縣,42110
Ayios Theodoros/Çayırova,409
Villedieu-le-Château,407
Karsin,2119
Saint-Gratien (Somme),353
Azur,564
Sankt Martin (Nadrenia-Palatynat),1900
Brando (Alta Córsega),1554
La Campana (Sevilla),5319
Le Plessis-Brion,1529
Войново (Варминьско-Мазурское воеводство),229
Saint-Gratien-Savigny,127
"Janów, Turek County",227
Lagny,570
Montagny-en-Vexin,665
Lány (Vysočina),60
东皮耶尔迪谢曼,538
Saint-Martin-des-Champs (Manche),2044
"Saint-Cyprien, Pyrénées-Orientales",9898
Dompierre-aux-Bois,45
Barranca de Upía,3863
Daniel Hernández (distrito),9591
Saint-Saturnin (Lozère),74
Okres Hodonín,15517
Barranca de Upía,4044
La Villedieu (Creuse),43
Fara Olivana con Sola,1196
"Minas Department, Neuquén",7180
Gmina Lansing (Iowa),1408
Saint-Sauveur (Vienne),1078
Sind,55053205
Königsfeld im Schwarzwald,6097
Oliva de Mérida,1890
Les Mées (Alpes-de-Haute-Provence),3687
Traisen (Niemcy),572
Бродфорд (Австралия),3490
Марсак-сюр-л’Иль,2769
Dalmatien,875174
Maranoa Region,13767
"Fara, Burkina Faso",9295
Le Plessis-Feu-Aussoux,508
"Saint-Cyprien, Bas-Saint-Laurent, Quebec",1219
Marey,68
Stare Pole,1758
Mée,191
Arborio,1050
Departamento Minas (Córdoba),4799
Biskupice Podgórne,182
Le Plessis-Pâté,3806
"Dali, Izeh",83
利贝瑙 (奥地利),1819
Stockland Bristol,159
"Orville, Loiret",120
Красное (Турковский район),493
Aalbeke,3088
Neuenkirchen (Rügen),403
Podole Wielkie,252
Němčice (district de Prachatice),196
Belleau (Meurthe-et-Moselle),772
Gozdowice,129
"Jazan, Alborz",336
Saint-Sauveur-Gouvernet,203
Seehausen am Staffelsee,2442
"Quiroga, Michoacán",14842
"Taranga, Nepal",4010
Beauregard-Vendon,1149
La Villedieu (Charente Marittima),223
Mermet,42
Saint-Gratien (Somme),360
Němčice u Volyně,105
Trou-Bonbon,6506
Trient,1922
Сен-Совёр (Дордонь),731
Loria,8504
Miroslava (Romênia),11750
チュスト,62510
Saint-Cyprien (Pireneje Wschodnie),10014
Coolamon Shire Council,4242
"Traisen, Germany",602
Alto (California),721
Trnávka (district de Dunajská Streda),422
カザレッジョ・ノヴァーラ,909
塞南 (塔拉戈纳省),54
Кирхдорф (Гриммен),612
Villedieu (Cantal),544
Saint-Placide,1692
Campello (Tessin),56
Phan District,127341
Recologne (Górna Saona),35
La Vallée,680
"Lignerolles, Eure",295
Drage (Frisia Settentrionale),567
Saint-Sauveur-de-Pierrepont,137
Viry (Haute-Savoie),3269
サン＝シプリアン (コレーズ県),330
Salim Beyg,224
Akrotiri (wieś),652
貝爾加拉 (烏拉圭),3672
Svoboda nad Úpou,2182
"Sassen, Germany",92
Kunaparaju Parava,5534
Whidbey Island,56582
Dawu (Garzê),49085
Xinjiang,21901263
Seyssel (Alta Saboya),2040
Distrito de Independencia (Pisco),11134
Aqsu (Almaty),884
Janów (gmina Wolbórz),40
Winsen (Holstein),380
Gimel-les-Cascades,679
Boulogne Sur Mer (Argentina),76634
Nasavrky (okres Ústí nad Orlicí),149
"Stężyca, Pomeranian Voivodeship",2135
惠德比島,56881
Akbarabad-e Hejri,385
Montagny (Loire),1123
"Municipio de Grand Meadow (condado de Clayton, Iowa)",577
Saint-Maximin (Oise),2905
Tarur-II,8587
Boissy-Fresnoy,871
Damery (Marne),1468
Steinen (Westerwald),240
Svoboda nad Úpou,2243
"Ganjeh, Hamadan",163
萨森,91
Lignerolles (Eure),293
Kowale Oleckie,2377
Campello,58
Мирабелло,3268
Coin-sur-Seille,270
La Villedieu (Charente-Maritime),223
Lignerolles (Allier),761
Huerta (gmina),323
Heydar Kar,18
Liebenau (Opper-Oostenrijk),1816
Tangerang Selatan,1445201
"Ljubija, Mozirje",460
"Cedar Township, Cowley County, Kansas",44
Nasavrky (okres Tábor),66
Biskupice Ołoboczne,1509
Dobromilice,873
Boissy-aux-Cailles,316
"Lor, Armenia",354
"Sangha, Mali",33289
Lolme,139
Le Mée,269
Romont (Vosges),351
Cantagallo (Colombia),8237
Merlo (Buenos Aires),245698
Le Mée,259
Malla (Barcelona),256
Dommartin-lès-Toul,1572
"Ganjeh, Ilam",161
Traisen (Germania),570
蒙塔尼圣费利西泰 (瓦兹省),398
"Les Angles, Gard",8533
Damery (Marne),1481
Grandfontaine (Doubs),1519
Saint-Sauveur-la-Pommeraye,299
Tlacolula de Matamoros,15944
Saint-Sauveur-la-Vallée,39
Dommartin-Varimont,133
Umbría (Italia),856155
Lignerolles (Allier),763
Montastruc (Tarn-et-Garonne),222
"Municipio de Ridge (condado de Shelby, Illinois)",418
Dříteň,1616
Wiscasset (Maine),3662
كيتاهيروشيما (هوكايدو),60796
Stare Pole,1880
Lora del Río,19943
Raión de Gagarin,133861
"Municipio de Blackbird (condado de Thurston, Nebraska)",1265
Ribera d'Ondara,428
Rosta,4514
La Celle-sous-Montmirail,106
Ла-Сель (Алье),441
Dompierre-en-Morvan,214
Königsfeld im Schwarzwald,5832
Mory-Montcrux,107
Orville (Indre),123
"Avilla, Arkansas",863
"Lundby, Vordingborg",858
Les Angles (Gard),8622
Naval,259
Saint-Sauveur (Isère),2014
Janów (powiat kielecki),470
ميرابيلو مونفيراتو,1385
Saint-Sauveur (Côte-d'Or),199
Błuskajmy Wielkie,62
Quincy-Voisins,4828
Arue,316
Трайзен (Наэ),582
Horka,1998
Sangha (departament),81996
Zhong (Chongqing),739012
利斯尔河畔马尔萨克 (多尔多涅省),2678
Jussy (Mosela),492
"Comanche, Montana",26
Les Anses-d’Arlet,3846
Montagny-lès-Buxy,235
Liman (Azerbejdżan),12075
Peringottukurissi-II,12251
Saint-Martin-des-Champs (Yonne),299
"Senan, Tarragona",54
Roșiori (Bacău),2251
Arriaga Municipality,38851
St. Martin am Tennengebirge,1415
Orville (Côte-d'Or),197
Wojciechy (Bartoszyce),573
Нойенкирхен (Бассум),1232
Ла-Флореста (Уругвай),1626
Morašice (Svitavy District),721
Viry-Noureuil,1787
Несса (Германия),935
Cugnasco-Gerra,2589
Épinay-Champlâtreux,65
Newcastle (Utah),246
Wilkowo Nowowiejskie,180
塔里,15374
"Esper, Iran",221
比斯特拉乡,5268
Conflans-sur-Loing,370
Dříteň,1595
Фара-Оливана-кон-Сола,1199
Leroy (Alabama),902
Stare Pole (village),1833
Hagen (Holstein),386
Bemowo Piskie,1237
Bourguignon-lès-Conflans,121
Маре-сюр-Тий,321
Queensland du Sud-Est,3397253
"Landser, Haut-Rhin",1657
拉夫尼茨谷地海利根克罗伊茨,1199
Calabria,1882078
Merville (Nord),9049
Pemba (Tanzânia),404848
"Abbecourt, Oise",782
Conflans-en-Jarnisy,2623
马雷 (孚日省),70
Les Mées (Alpes-de-Haute-Provence),3723
Rafah,148951
"Krasne, Lubartów County",543
Сигет (община Нови-Кнежевац),235
Kabupaten d'Asmat,93437
Heiligenkreuz am Waasen,1746
Kleine afgelegen eilanden van de Verenigde Staten,310
Fuente-Olmedo,43
Igal,1343
Cristóbal (Panama),51138
Avot (plaats),162
Sankt Martin an der Raab,2082
塔莱斯,866
Saint-Leu-d’Esserent,4754
Lapeyrouse-Mornay,1066
Němčice (Domažlice District),132
